Hospital,Year,Births,Deaths,Death-to-Birth Ratio,Note
Dublin Maternity Hospital,1840,1521,26,1.7,
Dublin Maternity Hospital,1841,2003,23,1.1,
Dublin Maternity Hospital,1842,2171,21,1,
Dublin Maternity Hospital,1843,2210,22,1,
Dublin Maternity Hospital,1844,2288,14,0.6,
Dublin Maternity Hospital,1845,1411,35,2.5,
Dublin Maternity Hospital,1846,2025,17,0.8,
Dublin Maternity Hospital,1847,1703,47,2.8,
Dublin Maternity Hospital,1848,1816,35,1.9,
Dublin Maternity Hospital,1849,2063,38,1.8,
